Ekran_Boyutu,Ekran_Karti,Ekran_Yenileme_Hizi,Hard_Disk_Kapasitesi,Ram,SSD_Kapasitesi,Cozunurluk,Islemci_Nesli,Islemci_Tipi,Isletim_Sistemi,url,price,marka
15.6,AMD Radeon Graphics,60.0,0.0,8.0,256.0,1920 x 1080,7.0,AMD Ryzen 5,Windows,https://www.trendyol.com//acer/aspire-3-a315-24p-r1x3-amd-ryzen-5-7520u-8gb-256gb-ssd-w11-15-6-fhd-nx-kdeey-003-mouse-p-741984880?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDM5MzA2NjczODE3MzM2NSwiYWRTY29yZSI6MC4wMzczNDQ4MzE5NzMzMTQyODUsImFkU2NvcmVzIjp7IjEiOjAuMDM3MzQ0ODMxOTczMzE0Mjg1LCIyIjowLjAzNzM0NDgzMTk3MzMxNDI4NX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43ODA0NTI0NDA1Mzg3NTUsImFkdmVydFNsb3QiOjgsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,12.7656,acer
13.6,M2 8 Çekirdekli,120.0,250.0,8.0,256.0,2560 x 1600,1.0,Apple M2,Mac Os,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153,35.999,apple
14.0,Intel UHD Graphics,60.0,0.0,4.0,128.0,1920 x 1080,9.0,Intel Celeron,Windows,https://www.trendyol.com//asus/intel-cel-n4020-4gb-ram-128gb-ssd-14-fhd-windows-11-gri-laptop-x415ma-ek385w-p-343054363,6.839,asus
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329,31.499,monster
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,512.0,1920 x 1080,12.0,Intel Core i7,Windows,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-10-pro-15-6-fhd-144hz-p-764509673?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDMwODg2MzA3ODgwMjgyNCwiYWRTY29yZSI6MC4wMzcwNDIyNjc2MjA1NjM1MSwiYWRTY29yZXMiOnsiMSI6MC4wMzcwNDIyNjc2MjA1NjM1MSwiMiI6MC4wMzcwNDIyNjc2MjA1NjM1MX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42OTI2MDk2MzIzMTQxMzYsImFkdmVydFNsb3QiOjksIm9yZGVyIjoxMSwiYXR0cmlidXRlcyI6IiJ9,34.6346,msi
15.6,Dahili Ekran Kartı,60.0,0.0,32.0,1.0,1920 x 1080,12.0,Intel Core i5,Free Dos,https://www.trendyol.com//casper/nirvana-c550-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-740918787,16.799,casper
15.6,Nvidia GeForce RTX 4050,144.0,0.0,8.0,512.0,1920 x 1080,12.0,Intel Core i5,Windows,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-rtx4050-w11-15-6-fhd-144hz-gaming-laptop-nh-qlzey-002-p-773939037,25.999,acer
15.6,Dahili Ekran Kartı,60.0,0.0,8.0,256.0,1920 x 1080,7.0,AMD Ryzen 3,Free Dos,https://www.trendyol.com//lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880,9.1999,lenovo
15.6,Nvidia GeForce GTX 1650,144.0,0.0,32.0,1.0,1920 x 1080,10.0,Intel Core i5,Windows,https://www.trendyol.com//asus/tuf-gaming-intel-core-i5-10300h-32gb-1tb-ssd-gtx1650-windows-11-pro-15-6-fx506lhb-hn347wp08-p-635047660?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTg5OTk1MTkyODQ4MTQ2LCJhZFNjb3JlIjowLjAzNTU3Mjk0OTc5NjkxNTA1NCwiYWRTY29yZXMiOnsiMSI6MC4wMzU1NzI5NDk3OTY5MTUwNTQsIjIiOjAuMDM1NTcyOTQ5Nzk2OTE1MDU0fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjcwMTIyODczNjU2MTMyNjYsImFkdmVydFNsb3QiOjEwLCJvcmRlciI6MTUsImF0dHJpYnV0ZXMiOiIifQ==,29.1996,asus
16.1,Nvidia GeForce RTX 4060,144.0,0.0,16.0,1.0,1920 x 1080,13.0,Intel Core i5,Free Dos,https://www.trendyol.com//hp/victus-16-r0035nt-intel-i5-13500h-ddr5-16gb-1tb-ssd-gen4-8gb-rtx-4060-16-1-freedos-laptop-7p6l3ea-p-706057652,33.359,hp
