ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,,,,,2 kg ve Altı,Yok,"13,3 inç",,,,,M2 8 Çekirdekli,DDR4,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,512 GB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,2. Nesil,M2,8,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-13-3-m2-cip-10c-gpu-8-gb-512gb-ssd-gumus-p-335849690,49.000 TL
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Blu-Ray Okuyucu,,,,8 GB,Belirtilmemiş,Siyah,256 GB,,,,,,,,,,,,,Belirtilmemiş,FHD+,,Belirtilmemiş,Belirtilmemiş,AMD,Belirtilmemiş,Windows,,https://www.trendyol.com//dell/nb-vostro-3400-n4030vn3400-u-i5-1135g7-8gb-256ssd-1tb-2gb-mx330-14-ubuntu-p-668645979,"13.486,54 TL"
,,,,USB,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,8 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5625U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/aspire-5-a515-47-r739-amd-ryzen-5-5625u-islemci-8gb-ram-512gb-ssd-15-6-inc-fhd-ekran-dos-p-672441034,12.249 TL
,,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Gümüş,512 GB,,,,3.3,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//asus/vivobook-15-m1502qa-ej140-amd-ryzen-5-5600h-8gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-bilgisayar-p-778481172,13.999 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ev - Okul,,4.5,,,,,IPS,,,8 GB,DDR4,Gri,256 GB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i5-1155g7-8gb-256gb-ssd-freedos-15-6-fhd-82h803p0txa17-p-760571685,13.499 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,8 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1215U,12. Nesil,Intel Core i3,6,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-intel-core-i3-1215u-8gb-512gb-ssd-freedos-14-inc-82rj00detx-p-780547227,11.899 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,64 GB,DDR4,Gümüş,256 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//everest/everbook-eb-21a19-i5-1135g7-64gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-364321408,"14.502,51 TL"
,,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,18 inç,,,,,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,,165 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,+5,,,,,IPS,,,64 GB,DDR5,Siyah,2 TB,Gen 4,,,3.9,,,,,,,,,2560 x 1600,QHD,,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//dell/alienware-m18-r1-i9-13900hx-64gb-2tb-ssd-rtx4080-12gb-18-qhd-w11-pro-awm18i9hx80wh-p-782873474,138.331 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.7,,,,Yok,TN,,,8 GB,DDR4,Gri,512 GB,,,,1.7,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,12. Nesil,AMD Ryzen 7,10,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-8gb-512gb-ssd-freedos-15-6-fhd-canta-hediye-p-781026633,12.499 TL
,,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,17 inç,,,,,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,,240 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,+5,,,,,IPS,,,32 GB,DDR5,Siyah,1 TB,Gen 4,,,2.2,,,,,,,,,2560 x 1600,QHD+,,13980HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//monster/semruk-s7-v9-3-1-intel-core-i9-13980hx-32-gb-ram-1-tb-ssd-16-gb-rtx-4090-windows-11-17-qhd-240-hz-p-759736501,125.999 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,8 GB,DDR4,Gümüş,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1502za-ej1068a1-i5-1235u-8gb-1tbssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764573747,"16.086,51 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-24-gb-1-tbhdd-256-gb-ssd-2gb-mx330-w10-home-14-n4030vn3400emeabt48-p-665662671,"16.035,07 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-24-gb-256-gb-ssd-2gb-mx330-w10-home-14-n4030vn3400emeabt43-p-665660042,"15.173,59 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-16-gb-1-tbhdd-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt37-p-665653063,"16.788,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-24-gb-1-tbhdd-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt38-p-665652881,"17.399,07 TL"
,,,,USB,,,2 kg ve Altı,Yok,16 inç,,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Tasarım,,,,,,,,,,32 GB,DDR5,Gri,1 TB,,,,,,,,,,,,,3200 x 2000,FHD+,,13700HX,13. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//asus/vivobook-pro-16x-oled-13-nesil-core-i7-13700hx-rtx4060-8gb-32gb-1tb-16-w11-p-779235233,69.205 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,24 GB,DDR4,Gümüş,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1502za-ej1068a5-i5-1235u-24gb-1tbssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764573758,"17.472,51 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-20gb-2-tbssd-2gb-mx330-14-w11-pron4030vn3400emeabt191-p-665694484,"17.901,60 TL"
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,TN,,,8 GB,DDR5,Siyah,1 TB,,,,2.8,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//lenovo/v15-g4-amn-ryzen-5-7520u-8gb-1tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82yu00q6tx002-p-745410067,11.499 TL
,,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,,IPS,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0017nt-7p6b6ea-6gb-rtx4050-13-nesil-i7-13700h-32gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-737198689,40.999 TL
,32 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,GDDR6,Paylaşımlı,Harici,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,512 GB,Q Türkçe,,Ofis - İş,,4.3,,Üniversite,,Yok,IPS,,,16 GB,DDR4,Gri,512 GB,,,,1.8,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,7. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/thinkbook-15-21a40036tx-r7-5700u-16gb-512gb-ssd-15-6-fdos-p-436537356,21.299 TL
,16 GB,,,Bluetooth - HDMI,Mini HDMI - VGA,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.4,,,,Yok,IPS,,,16 GB,DDR4,Gümüş,1 TB,,,,3.3,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,4-6 Saat,https://www.trendyol.com//asus/vivobook-pro-15-m6500qc-hn095a-r5-5-5600h-16gb-1tb-rtx3050-4gb-vga-freedos-15-6-fhd-144hz-p-780486193,26.499 TL
,,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,,Full HD,,,32 GB,DDR4,Metalik,1 TB,Gen 4,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13420H,13. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0p-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-windows-11-p-778685699,39.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/v15-g2-ijl-celeron-n4500-8gb-256gb-ssd-fdos-15-6-fhd-82qy00nltx-dizustu-bilgisayar-p-681902033,9.998 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,8 GB,DDR4,Gri,512 GB,,,,1.3,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//dell/vostro-3520-i5-1235u-8-gb-512-gb-ssd-15-6-fhd-freedos-n1611pvnb3520u-bt7-p-775750661,"14.599,28 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt142-p-681555555,"15.999,17 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-2-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt117-p-666013993,"18.224,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-256-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt124-p-665718571,"16.035,07 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-2-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt72-p-665693973,"17.183,70 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt64-p-665693640,"16.752,97 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-8-gb-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt150-p-665693623,"16.860,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-1-tbhdd-256-gb-ssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt86-p-665693569,"15.281,28 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-1-tbhdd-256-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt126-p-665693556,"15.460,75 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-256-gb-ssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt87-p-665693539,"15.604,33 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-2-tbssd-2gb-mx330-14-w10-pro-n4030vn3400emeabt183-p-665692164,"17.722,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt147-p-665689609,"16.860,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-24-gb-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt33-p-665732386,"16.537,60 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt63-p-665693750,"16.250,44 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-2-tbssd-2gb-mx330-dos-14-n4030vn3400emeabt167-p-665693583,"16.286,33 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-32-gb-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt34-p-665693542,"17.040,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt39-p-665693529,"17.901,60 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-2-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt73-p-665693075,"17.793,91 TL"
