marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,Cozunurluk,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
asus,Free Dos,AMD Ryzen 9,7.0,2560 x 1440,1.0,16.0,0.0,240.0,Nvidia GeForce RTX 4070,17.3,65.999
apple,Mac Os,M2,13.0,2550 x 1600,512.0,8.0,0.0,60.0,M2 8 Çekirdekli,13.0,44.9
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,23.0
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX3060,17.3,42.499
huawei,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,19.899
asus,Windows,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,30.499
acer,Linux,AMD Ryzen 5,3.0,1920 x 1080,512.0,8.0,512.0,60.0,Dahili Ekran Kartı,15.6,10.499
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,500.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,18.899
lenovo,Free Dos,AMD Athlon,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.4467
asus,Free Dos,AMD Ryzen 7,4.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,39.1387
apple,Mac Os,M2,2.0,2560 x 1600,256.0,8.0,512.0,144.0,M2 8 Çekirdekli,13.0,42.499
lenovo,Free Dos,Intel Core i5,12.0,2560 x 1600,512.0,16.0,512.0,60.0,Intel XE Graphics,13.3,21.999
hp,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,28.099
dell,Ubuntu,Intel Core i3,11.0,1366 x 768,0.0,4.0,1.0,60.0,Intel UHD Graphics,14.0,8.4141
casper,Free Dos,Intel Celeron,13.0,1366 x 768,240.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,8.811
asus,Free Dos,AMD Ryzen 7,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,44.999
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX350,15.6,18.7074
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,22.899
asus,Windows,Intel Core i5,12.0,1920 x 1200,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 3050,16.0,27.309
msi,Free Dos,Intel Core i9,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4070,15.6,55.399
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,11.799
lenovo,Windows,Intel Core i3,12.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel UHD Graphics,15.6,11.65
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,7.148
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.749
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,10.8999
asus,Free Dos,Intel Core i7,13.0,1920 x 1200,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4050,16.0,42.999
dell,Free Dos,Intel Core M,13.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,168.3851
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX330,14.0,17.499
asus,Free Dos,Intel Core i5,5.0,1920 x 1080,256.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,14.299
lenovo,Windows,Intel Core i3,10.0,1920 x 1080,256.0,4.0,0.0,60.0,Intel UHD Graphics,14.0,11.399
msi,Windows,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4070,15.6,53.6
asus,Free Dos,AMD Ryzen 9,7.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4070,15.6,52.499
apple,Mac Os,M3,3.0,3024 x 1964,512.0,36.0,0.0,120.0,M3,16.0,109.399
dell,Free Dos,Intel Core i3,11.0,1366 x 768,512.0,8.0,0.0,60.0,Intel UHD Graphics,14.0,9.3715
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,14.799
lenovo,Windows,Intel Core i9,10.0,1920 x 1080,1.0,16.0,0.0,90.0,Nvidia GeForce RTX 4090,16.0,159.999
asus,Windows,AMD Ryzen 3,3.0,1366 x 768,256.0,12.0,0.0,60.0,AMD Radeon Graphics,15.6,9.5521
asus,Windows,Intel Celeron,4.0,1920 x 1080,128.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,8.199
acer,Windows,Intel Core i5,10.0,1920 x 1080,1.0,8.0,0.0,90.0,Nvidia GeForce RTX 4050,15.6,27.999
apple,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,44.999
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,27.6192
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,17.3,27.6984
asus,Windows,Intel Celeron,10.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel UHD Graphics,14.0,6.999
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,24.0,2.0,60.0,Nvidia GeForce MX350,15.6,20.7335
lenovo,Free Dos,Intel Core i7,10.0,1920 x 1080,256.0,4.0,0.0,120.0,Nvidia GeForce RTX 3090,14.0,16.0
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,17.3,48.849
apple,Mac Os,Apple M2,2.0,2880 x 1620,256.0,8.0,256.0,120.0,M2 10 Çekirdekli,15.0,51.999
asus,Free Dos,Intel Celeron,13.0,1920 x 1080,256.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,9.199
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,33.999
hp,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX550,15.6,19.9
msi,Windows,Intel Core i9,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4070,17.3,73.919
lenovo,Windows,Intel Core i5,7.0,1920 x 1080,256.0,8.0,0.0,90.0,Intel Iris Graphics,15.6,13.999
hp,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,14.85
monster,Windows,Intel Core i7,13.0,2560 x 1600,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4070,16.0,65.499
lenovo,Windows,Intel Core i5,13.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel XE Graphics,15.6,17.539
acer,Windows,Intel Core i7,13.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,14.0,33.999
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,24.899
huawei,Free Dos,AMD,10.0,2160 x 1440,512.0,8.0,0.0,120.0,AMD Radeon Graphics,14.0,38.0
asus,Windows,Intel Core i5,10.0,1920 x 1200,512.0,8.0,512.0,90.0,Intel XE Graphics,16.0,15.999
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Belirtilmemiş,15.6,22.799
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,32.0,0.0,144.0,AMD Radeon RX6500M,15.6,24.299
acer,Windows,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.999
lenovo,Free Dos,Intel Celeron,4.0,1366 x 768,0.0,4.0,128.0,60.0,Intel UHD Graphics,15.6,7.15
apple,Mac Os,M2,13.0,2560 x 1664,512.0,8.0,0.0,60.0,Belirtilmemiş,13.6,42.999
asus,Windows,Intel Celeron,13.0,1366 x 768,128.0,4.0,0.0,60.0,Paylaşımlı,15.6,9.899
asus,Free Dos,Intel Core i7,8.0,1366 x 768,256.0,8.0,250.0,60.0,Dahili Ekran Kartı,14.0,18.4797
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,32.0,0.0,60.0,Intel Iris Graphics,15.6,12.5721
hp,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4070,16.1,48.899
msi,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.399
casper,Free Dos,Intel Core i9,13.0,2560 x 1600,1.0,64.0,0.0,165.0,Nvidia GeForce RTX 4090,16.0,105.199
apple,Mac Os,Apple M2,13.0,2560 x 1600,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,13.3,64.96
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,28.899
lenovo,Free Dos,Intel Core i5,11.0,1366 x 768,256.0,8.0,0.0,60.0,Nvidia GeForce MX330,14.0,12.6256
lenovo,Free Dos,Intel Celeron,9.0,1366 x 768,128.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,6.829
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,16.1,30.999
dell,Windows,Intel Core i7,13.0,2560 x 1600,1.0,16.0,0.0,60.0,Nvidia GeForce RTX 2050,14.0,34.999
hp,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,11.999
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,25.799
asus,Free Dos,Intel Core i3,11.0,1920 x 1080,128.0,4.0,128.0,60.0,Intel UHD Graphics,15.6,9.249
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,16.799
acer,Windows,Intel Core i3,10.0,1920 x 1080,256.0,4.0,256.0,90.0,Intel UHD Graphics,15.6,9.572
asus,Windows,AMD Ryzen 5,4.0,1920 x 1080,0.0,8.0,256.0,60.0,AMD Radeon Graphics,15.6,13.999
dell,Free Dos,Intel Core i9,13.0,1920 x 1080,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,49.659
asus,Free Dos,AMD Ryzen 5,5.0,1920 x 1200,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,16.0,14.3
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.999
dell,Windows,Intel Core i7,13.0,2560 x 1600,1.0,16.0,0.0,165.0,Nvidia GeForce RTX 4080,16.0,62.999
asus,Free Dos,Intel Core i5,12.0,1920 x 1200,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 2050,16.0,26.089
huawei,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,512.0,60.0,AMD Radeon Graphics,15.6,22.29
dell,Free Dos,Intel Core i3,11.0,1366 x 768,128.0,16.0,0.0,60.0,Intel UHD Graphics,14.0,9.3715
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,14.999
msi,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,39.999
lenovo,Windows,Intel Core i5,11.0,2256 x 1504,256.0,16.0,0.0,60.0,Intel Iris Graphics,13.5,42.999
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel Iris Graphics,15.6,9.599
hp,Free Dos,Intel Xeon,12.0,3456 x 2234,4.0,16.0,500.0,90.0,Nvidia Quadro P2200,13.4,18.999
dell,Linux,Intel Core i9,13.0,2560 x 1600,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4070,16.0,61.799
msi,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,20.964
lenovo,Free Dos,Intel Core i7,12.0,2560 x 1600,512.0,16.0,0.0,60.0,Intel Iris Graphics,12.3,34.999
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX3060,15.6,39.099
lenovo,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,32.0,0.0,60.0,Nvidia GeForce MX450,14.0,39.999
asus,Free Dos,Intel Core i7,13.0,1920 x 1200,512.0,8.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,51.2698
dell,Free Dos,Intel Core i7,13.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4050,15.6,39.199
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,33.333
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,13.499
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,29.899
acer,Free Dos,AMD Ryzen 7,7.0,1920 x 1200,1.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,39.899
msi,Free Dos,Intel Xeon,13.0,1920 x 1080,256.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,21.5798
monster,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,14.1,22.499
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel XE Graphics,18.0,14.93
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,8.0,1.0,144.0,Nvidia GeForce RTX 3050,15.6,20.0123
msi,Free Dos,AMD Ryzen 5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,14.0,23.25
asus,Windows,Intel Core i3,11.0,1920 x 1080,128.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,9.899
huawei,Windows,MediaTek P60T,5.0,4480 x 2520,32.0,36.0,500.0,90.0,Nvidia GeForce MX450,18.0,39.499
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 3050,15.6,26.5311
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,15.6065
asus,Free Dos,Intel Core i3,11.0,1920 x 1080,256.0,4.0,0.0,60.0,Intel UHD Graphics,15.6,9.899
hp,Free Dos,Intel Core i7,13.0,2560 x 1440,1.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,17.3,50.199
asus,Windows,AMD Ryzen 3,3.0,1366 x 768,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.8491
toshiba,Windows,Intel Core i5,7.0,1920 x 1080,0.0,8.0,256.0,60.0,Paylaşımlı,13.3,26.785
dell,Linux,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,19.759
lenovo,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,16.55
asus,Free Dos,Intel Core i9,13.0,2560 x 1600,1.0,16.0,0.0,240.0,Nvidia GeForce RTX 4070,18.0,73.399
monster,Free Dos,Intel Core i7,11.0,1920 x 1080,500.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,30.699
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel XE Graphics,13.3,34.999
dell,Linux,Intel Core i5,10.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,16.0,16.999
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,22.299
msi,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 3050,15.6,33.999
acer,Windows,Intel Core i3,10.0,1920 x 1080,256.0,4.0,0.0,90.0,Intel UHD Graphics,15.6,8.999
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,32.0,0.0,60.0,Dahili Ekran Kartı,15.6,16.299
gigabyte,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,28.799
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Nvidia GeForce MX350,15.6,17.1651
lenovo,Free Dos,AMD Ryzen 7,7.0,1920 x 1200,512.0,16.0,0.0,90.0,AMD Radeon Graphics,13.3,32.999
acer,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,41.899
acer,Windows,Intel Core i5,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,28.8081
asus,Windows,AMD Ryzen 3,13.0,1920 x 1080,256.0,4.0,0.0,60.0,AMD Radeon R3,15.6,8.65
asus,Windows,Ryzen Z1,13.0,1920 x 1080,512.0,16.0,500.0,120.0,AMD Radeon Graphics,7.0,29.686
microsoft,Windows,Intel Core i7,12.0,2880 x 1800,1.0,16.0,0.0,120.0,Intel Iris Graphics,13.0,89.32
acer,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,1.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,13.1161
lenovo,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,1.0,120.0,Nvidia GeForce RTX 3050,15.6,33.3725
apple,Mac Os,Apple M2,2.0,2880 x 1800,512.0,16.0,0.0,60.0,M2 10 Çekirdekli,15.0,68.999
dell,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,35.2773
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1200,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,16.0,18.499
monster,Windows,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,17.3,41.999
monster,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,60.0,Intel Iris Graphics,14.1,26.499
hp,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX3060,16.1,33.449
tecno,Windows,Intel Core i5,13.0,1920 x 1080,512.0,12.0,0.0,60.0,Belirtilmemiş,15.6,16.019
dell,Free Dos,Intel Core i3,11.0,1366 x 768,256.0,8.0,0.0,60.0,Intel HD Graphics,14.0,9.4037
lenovo,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,22.199
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,24.255
acer,Free Dos,AMD Ryzen 5,6.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,25.399
acer,Free Dos,AMD Ryzen 7,6.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3070Ti,15.6,37.861
acer,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,512.0,60.0,Dahili Ekran Kartı,15.6,16.999
dell,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,32.0,0.0,120.0,AMD Radeon Graphics,15.6,18.1501
acer,Linux,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,22.699
lenovo,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,12.999
acer,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3070,15.6,36.625
lenovo,Free Dos,Intel Celeron,11.0,1366 x 768,256.0,4.0,128.0,60.0,Intel UHD Graphics 600,15.6,8.5903
lenovo,Windows,Intel Core i3,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,11.999
dell,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,47.302
asus,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,25.499
lenovo,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 4060,15.6,33.799
asus,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX330,15.6,26.999
hp,Free Dos,AMD Ryzen 5,3.0,1920 x 1080,256.0,8.0,256.0,120.0,AMD Radeon Graphics,15.6,12.785
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,16.0,0.0,60.0,Nvidia GeForce MX350,15.6,17.839
asus,Free Dos,AMD Ryzen 7,7.0,1920 x 1200,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,14.0,37.999
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,120.0,Intel Iris Graphics,15.6,19.999
lenovo,Free Dos,Intel Celeron,13.0,1920 x 1080,0.0,4.0,1.0,60.0,Paylaşımlı,14.0,9.489
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.999
dell,Free Dos,Intel Core i3,11.0,1366 x 768,256.0,12.0,0.0,60.0,Intel UHD Graphics,14.0,9.4454
lenovo,Windows,AMD Ryzen 5,13.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,12.899
dell,Windows,Intel Core i5,13.0,1920 x 1200,512.0,16.0,512.0,60.0,Intel Iris Graphics,14.0,23.321
dell,Linux,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,12.669
asus,Free Dos,Intel Celeron,13.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,9.149
lenovo,Windows,Intel Celeron,1.0,1366 x 768,512.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,8.5876
apple,Mac Os,Apple M1,1.0,2560 x 1600,256.0,16.0,0.0,60.0,Dahili Ekran Kartı,13.0,38.999
dell,Ubuntu,Intel Core i3,11.0,1920 x 1080,256.0,8.0,1.0,60.0,Intel UHD Graphics,14.0,9.8999
asus,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,16.499
monster,Free Dos,Intel Core i7,12.0,1920 x 1080,500.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,17.3,39.699
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,128.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,9.5521
hp,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX550,15.6,18.299
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,8.0,0.0,90.0,AMD Radeon Graphics,15.6,10.4
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,18.999
dell,Free Dos,Intel Core i3,11.0,1366 x 768,256.0,8.0,0.0,60.0,Intel UHD Graphics,14.0,9.0691
acer,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,39.999
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,16.0,0.0,60.0,Intel XE Graphics,15.6,14.999
lenovo,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX550,15.6,27.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,16.0357
acer,Windows,Intel Core i5,10.0,1920 x 1080,512.0,8.0,0.0,90.0,Intel Iris Graphics,15.6,12.999
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce GTX 1650,15.6,23.3838
dell,Free Dos,Intel Core i5,11.0,1366 x 768,256.0,16.0,0.0,60.0,Nvidia GeForce MX330,14.0,13.3077
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,1.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,12.0999
asus,Free Dos,Intel Core i7,10.0,1920 x 1080,512.0,8.0,500.0,60.0,Intel UHD Graphics,14.0,19.074
acer,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,26.0
asus,Free Dos,Intel Core i7,13.0,1920 x 1200,512.0,8.0,0.0,165.0,Nvidia GeForce RTX 4050,16.0,47.0558
hp,Free Dos,AMD Ryzen 5,13.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,25.999
hp,Windows,MediaTek P60T,5.0,4480 x 2520,32.0,36.0,500.0,90.0,Nvidia GeForce MX450,18.0,12.25
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,16.0,27.999
hp,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,15.2999
lenovo,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon R5,15.6,12.447
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,500.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,28.199
dts-teknoloji,Free Dos,Intel Celeron,4.0,2160 x 1440,256.0,8.0,250.0,60.0,Intel HD Graphics,15.6,8.5389
msi,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,32.499
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,512.0,16.0,512.0,60.0,Intel Iris Graphics,15.6,25.399
asus,Free Dos,Intel Core i7,12.0,1920 x 1200,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4050,16.0,43.999
msi,Windows,Intel Core i9,13.0,2560 x 1600,2.0,32.0,0.0,240.0,Nvidia GeForce RTX 4070,17.3,85.999
apple,Mac Os,M2,13.0,3024 x 1964,1.0,32.0,0.0,60.0,Dahili Ekran Kartı,14.0,109.999
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,17.999
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,35.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,15.999
