marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
3,1,17,4.0,120.0,8.0,0.0,60.0,16,15.6,8.427
19,1,21,12.0,1.0,16.0,0.0,144.0,54,17.3,57.449
16,5,20,11.0,512.0,8.0,0.0,120.0,45,15.6,26.984
2,1,20,11.0,512.0,8.0,256.0,60.0,45,15.6,27.399
16,1,20,12.0,512.0,8.0,0.0,120.0,45,15.6,24.934
0,1,20,12.0,512.0,16.0,0.0,144.0,53,15.6,29.999
16,5,8,5.0,1.0,16.0,0.0,60.0,3,15.6,17.075
16,1,4,10.0,256.0,8.0,0.0,60.0,3,15.6,8.9
16,1,7,7.0,256.0,8.0,0.0,60.0,3,15.6,9.849
4,3,10,13.0,1.0,16.0,0.0,60.0,28,15.6,15.1999
16,5,8,5.0,512.0,8.0,0.0,60.0,3,15.6,14.7456
0,1,20,11.0,512.0,8.0,0.0,60.0,41,15.6,14.999
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,13.189
19,5,21,12.0,1.0,64.0,0.0,144.0,55,17.3,54.6359
16,5,8,5.0,512.0,8.0,0.0,60.0,3,15.6,14.434
16,5,17,1.0,256.0,4.0,0.0,60.0,25,15.6,7.8282
0,3,10,13.0,512.0,16.0,512.0,60.0,28,14.0,19.5
11,5,8,5.0,512.0,8.0,0.0,60.0,14,15.6,12.999
2,5,20,10.0,1.0,8.0,0.0,60.0,36,15.6,27.6192
16,0,17,13.0,0.0,4.0,0.0,60.0,14,11.6,6.499
1,3,27,13.0,256.0,16.0,0.0,60.0,30,13.6,44.399
2,3,10,13.0,512.0,16.0,0.0,60.0,28,14.0,13.899
2,5,20,11.0,1.0,8.0,0.0,144.0,45,15.6,29.5438
3,1,21,12.0,1.0,32.0,0.0,144.0,45,15.6,31.999
16,1,20,11.0,512.0,8.0,0.0,120.0,36,15.6,21.198
19,5,21,12.0,512.0,16.0,0.0,144.0,53,15.6,32.999
